verse_number,chapter_number,chapter_name_vi,chapter_name_ja,vi,ja
1,1,Pham Song Yeu,双品,"Ý dẫn đầu các pháp,
Ý làm chủ, ý tạo;
Nếu với ý ô nhiễm,
Nói lên hay hành động,
Khổ não bước theo sau,
Như xe, chân vật kéo.","諸法は意に支配せられ、意を主とし、意よりなる。
人もし穢れたる意を以て、或いは語り或いは行わば、苦の彼に随うこと、車輪が牽獣の足に〔随う〕が如し。"
2,1,Pham Song Yeu,双品,"Ý dẫn đầu các pháp,
Ý làm chủ, ý tạo;
Nếu với ý thanh tịnh,
Nói lên hay hành động,
An lạc bước theo sau,
Như bóng, không rời hình.","諸法は意に支配せられ、意を主とし、意よりなる。
人もし浄き意を以て、或いは語り或いは行わば、楽の彼に随うこと、影の〔形に随いて〕離れざるが如し。"
3,1,Pham Song Yeu,双品,"Nó mắng tôi, đánh tôi,
Nó thắng tôi, cướp tôi
Ai ôm hiềm hận ấy,
Hận thù không thể nguôi.",「彼、我を罵れり、我を投げ打てり、我を敗れり、我より奪えり」と、かかる執念を懐く人には、その忿怨やむことなし。
4,1,Pham Song Yeu,双品,"Nó mắng tôi, đánh tôi,
Nó thắng tôi, cướp tôi
Không ôm hiềm hận ấy,
Hận thù được tự nguôi.",「彼、我を罵れり、我を投げ打てり、我を敗れり、我より奪えり」と、かかる執念を懐かざる人には、その忿怨終息す。
5,1,Pham Song Yeu,双品,"Với hận diệt hận thù,
Ðời này không có được.
Không hận diệt hận thù,
Là định luật ngàn thu.","実に、この世に於て、怨は怨によりて終にやむことなし。
怨を棄ててこそ初めてやむ。
こは万古不易の法なり。"
6,1,Pham Song Yeu,双品,"Và người khác không biết,
Chúng ta đây bị hại.
Chỗ ấy, ai hiểu được
Tranh luận được lắng êm.","他の者（愚者）は、「我らはこの世に於て、自ら制すべきものなり」と悟らず。
かく悟る者にのみ、それによりて争いはやむ。"
7,1,Pham Song Yeu,双品,"Ai sống nhìn tịnh tướng,
Không hộ trì các căn,
ăn uống thiếu tiết độ,
biếng nhác, chẳng tinh cần.
Ma uy hiếp kẻ ấy,
như cây yếu trước gió.",享楽を事として住し、諸根を摂せず、飲食度なく、怠惰にして精勤せざるもの、実に魔王がかかる人を克服すること、風の弱き樹に於けるが如し。
8,1,Pham Song Yeu,双品,"Ai sống quán bất tịnh,
Khéo hộ trì các căn,
ăn uống có tiết độ,
Có lòng tin, tinh cần,
Ma không uy hiếp được,
Như núi đá, trước gió.",享楽を事とせずして住し、よく諸根を摂し、飲食度あり、信念ありて精勤するもの、実に魔王がかかる人を克服し得ざること、風の岩山に於けるが如し。
9,1,Pham Song Yeu,双品,"Ai mặc áo cà sa.
tâm chưa rời uế trược,
không tự chế, không thực,
không xứng áo cà sa",汚濁を脱せざるもの、袈裟を纏わんとするも、節度なく真実なければ、彼は袈裟に相応せず。
10,1,Pham Song Yeu,双品,"Ai rời bỏ uế trược,
giới luật khéo nghiêm trì,
tự chế, sống chơn thực,
thật xứng áo cà sa.",汚濁を捨棄し、よく戒行に住し、節度を守り真実あれば、彼は実に袈裟に相応す。
11,1,Pham Song Yeu,双品,"Không chân, tưởng chân thật,
chân thật, thấy không chân:
chúng không đạt chân thật,
do tà tư, tà hạnh.",非精髄を精髄と思い、精髄を非精髄と見る人は、邪思惟に住し、精髄に到達することなし。
12,1,Pham Song Yeu,双品,"Chân thật, biết chân thật,
Không chân, biết không chân:
chúng đạt được chân thật,
do chánh tư, chánh hạnh.",精髄に於て精髄を知り、非精髄に於て非精髄を知る人は、正思惟に住し、精髄に到達す。
13,1,Pham Song Yeu,双品,"Như mái nhà vụng lợp,
Mưa liền xâm nhập vào.
Cũng vậy tâm không tu,
Tham dục liền xâm nhập.","粗く葺きたる家屋に雨の漏る如く、
貪欲
は
修養
なき心を侵す。"
14,1,Pham Song Yeu,双品,"Như ngôi nhà khéo lợp,
Mưa không xâm nhập vào.
Cũng vậy tâm khéo tu,
Tham dục không xâm nhập.",善く葺きたる家屋に雨の漏らざる如く、貪欲は修養せる心を侵さず。
15,1,Pham Song Yeu,双品,"Nay sầu, đời sau sầu,
Kẻ ác, hai đời sầu;
Nó sầu, nó ưu não,
Thấy nghiệp uế mình làm.","この世に於て悲しみ、死後に於ても悲しみ、悪業をなせる者は両処に於て悲しむ。
自己の
業
の汚濁を見て、彼は悲しみ、彼は悩む。"
16,1,Pham Song Yeu,双品,"Nay vui, đời sau vui,
Làm phước, hai đời vui,
Nó vui, nó an vui,
Thấy nghiệp tịnh mình làm.","この世に於て歓び、死後に於ても歓び、善業をなせる者は両処に於て歓ぶ。
自己の業の清浄を見て、彼は歓び、彼は楽しむ。"
17,1,Pham Song Yeu,双品,"Nay than, đời sau than,
Kẻ ác, hai đời than,
Nó than: ‘Ta làm ác’
Ðọa cõi dữ, than hơn.","この世に於て苦しみ、死後に於ても苦しみ、悪業をなせる者は両処に於て苦しむ。
「我悪業をなせり」とて苦しみ、悪趣に堕ちて更に苦しむ。"
18,1,Pham Song Yeu,双品,"Nay sướng, đời sau sướng,
Làm phước, hai đời sướng.
Nó sướng: ‘Ta làm thiện’,
Sanh cõi lành, sướng hơn.","この世に於て喜び、死後に於ても喜び、善業をなせる者は両処に於て喜ぶ。
「我善業をなせり」とて喜び、善趣に往きて更に喜ぶ。"
19,1,Pham Song Yeu,双品,"Nếu người nói nhiều kinh,
Không hành trì, phóng dật;
Như kẻ chăn bò người,
Không phần Sa môn hạnh.",たとい経典を誦すること多くとも、放逸にしてこれを実行せざる人は、他人の牛を数うる牧者に等しく、〔真の〕沙門の列に入らず。
20,1,Pham Song Yeu,双品,"Dầu nói ít kinh điển,
Nhưng hành pháp, tùy pháp,
Từ bỏ tham, sân, si,
Tĩnh giác, tâm giải thoát,
Không chấp thủ hai đời,
Dự phần Sa môn hạnh.","たとい経典を誦すること少なくとも、法に
遵
いて挙止し、貪欲と
瞋恚
と
愚痴
とを捨て、正智を得て心よく
解脱
し、この世に於てもかの世に於ても
執着
なきものは、〔真の〕沙門の列に入る。"
21,2,Pham Khong Phong Dat,不放逸品,"Không phóng dật, đường sống,
Phóng dật là đường chết.
Không phóng dật, không chết,
Phóng dật như chết rồi.","不放逸は不死の道にして、放逸は死の道なり。
不放逸の人は死せず、放逸の人は死せるに異ならず。"
22,2,Pham Khong Phong Dat,不放逸品,"Biết rõ sai biệt ấy,
Người trí không phóng dật,
Hoan hỷ, không phóng dật,
An vui hạnh bậc Thánh.",よくこの理を悟り、不放逸に通達せる人は不放逸を歓び、聖者の境を楽しむ。
23,2,Pham Khong Phong Dat,不放逸品,"Người hằng tu thiền định,
Thường kiên trì tinh tấn.
Bậc trí hưởng Niết Bàn,
Ðạt an tịnh vô thượng.","これらの賢者は
禅定
に住し、堅忍に満ち、常に勇猛にして、無上安穏の
涅槃
を獲得す。"
24,2,Pham Khong Phong Dat,不放逸品,"Nỗ lực, giữ chánh niệm,
Tịnh hạnh, hành thận trọng
Tự điều, sống theo pháp,
Ai sống không phóng dật,
Tiếng lành ngày tăng trưởng.",奮励し、念慮に富み、浄行をなし、熟慮して行い、自己を抑制し、正法に従って生きる不放逸者の声誉は増大す。
25,2,Pham Khong Phong Dat,不放逸品,"Nỗ lực, không phóng dật,
Tự điều, khéo chế ngự.
Bậc trí xây hòn đảo,
Nước lụt khó ngập tràn.","奮励により、不放逸により、自制により、また
調御
により、賢慮ある者は瀑流（
煩悩
）の侵すことなき洲（避難所）を造るべし。"
26,2,Pham Khong Phong Dat,不放逸品,"Chúng ngu si, thiếu trí,
Chuyên sống đời phóng dật.
Người trí, không phóng dật,
Như giữ tài sản quý.",痴鈍愚昧の輩は放逸に耽り、賢慮ある者は不放逸を護ること、最上の宝を〔護る〕が如し。
27,2,Pham Khong Phong Dat,不放逸品,"Chớ sống đời phóng dật,
Chớ mê say dục lạc.
Không phóng dật, thiền định,
Ðạt được an lạc lớn.","放逸に耽るべからず、欲楽に親しむべからず。
不放逸にして禅定に住する者のみ、大安楽に達し得ればなり。"
28,2,Pham Khong Phong Dat,不放逸品,"Người trí dẹp phóng dật,
Với hạnh không phóng dật,
Leo lầu cao trí tuệ,
Không sầu, nhìn khổ sầu,
Bậc trí đứng núi cao,
Nhìn kẻ ngu, đất bằng.","識者が不放逸により放逸を退くる時、かかる賢者は
智慧
の高閣に登り、憂を去って憂ある衆愚を瞰下す、あたかも山上に立てる人が地上の人を〔瞰下する〕如く。"
29,2,Pham Khong Phong Dat,不放逸品,"Tinh cần giữa phóng dật,
Tỉnh thức giữa quần mê.
Người trí như ngựa phi,
Bỏ sau con ngựa hèn.",放逸なる者の中に在りて不放逸に、睡眠者の中に在りてよく覚醒せる賢者は、駿馬の駑馬を後にして〔進む〕が如くに往く。
30,2,Pham Khong Phong Dat,不放逸品,"Ðế Thích [1] không phóng dật,
Ðạt ngôi vị Thiên chủ.
Không phóng dật, được khen ;
Phóng dật, thường bị trách.","摩伽婆
（
帝釈天
）は不放逸によりて諸天の最高位に達せり。
人は不放逸を称讃し、放逸は常に非難せらる。"
31,2,Pham Khong Phong Dat,不放逸品,"Vui thích không phóng dật,
Tỷ kheo sợ phóng dật,
Bước tới như lửa hừng,
Thiêu kiết sử lớn nhỏ.","不放逸を楽しみ、また放逸に畏怖を感ずる比丘は、大小の
繋縛
を火の如くに焼きつつ往く。"
32,2,Pham Khong Phong Dat,不放逸品,"Vui thích không phóng dật,
Tỷ kheo sợ phóng dật,
Không thể bị thối đọa,
Nhất định gần Niết Bàn.",不放逸を楽しみ、また放逸に畏怖を感ずる比丘は、既に涅槃に近づき、決して退転することなし。
33,3,Pham Tam,心品,"Tâm hoảng hốt giao động,
Khó hộ trì, khó nhiếp,
Người trí làm tâm thẳng,
Như thợ tên, làm tên.","賢慮ある者は、戦慄し動揺し護り難く制し難き心を直くすること、あたかも箭匠の
箭
に於けるが如し。"
34,3,Pham Tam,心品,"Như cá quăng lên bờ,
Vất ra ngoài thủy giới;
Tâm này vùng vẫy mạnh,
Hãy đoạn thế lực Ma.",水中の住処より取り出されて陸上に投げ捨てられし魚の如く、この心は魔王の世界より逃れんとして戦慄す。
35,3,Pham Tam,心品,"Khó nắm giữ, khinh động,
Theo các dục quay cuồng.
Lành thay, điều phục tâm;
Tâm điều, an lạc đến.","捉え難く軽躁にして欲に随いて赴く心を、制御するはまことに善し。
制御せられたる心は安楽をもたらす。"
36,3,Pham Tam,心品,"Tâm khó thấy, tế nhị,
Theo các dục quay cuồng.
Người trí phòng hộ tâm,
Tâm hộ, an lạc đến.","極めて見難く極めて微妙にして欲に随いて赴く心を、賢慮ある者は護るべし。
護られたる心は安楽をもたらす。"
37,3,Pham Tam,心品,"Chạy xa, sống một mình,
Không thân, ẩn hang sâu [1]
Ai điều phục được tâm,
Thoát khỏi Ma trói buộc. [2]","遠く行き独り動き形骸なく胸窟に隠るる心、そを制御する者は魔王の
繋縛
より脱す。"
38,3,Pham Tam,心品,"Ai tâm không an trú,
Không biết chân diệu pháp,
Tịnh tín bị rúng động,
Trí tuệ không viên thành.",心安定せず、正法を弁えず、信念動揺する人の智慧は成満することなし。
